number,value,params_batch_size,params_cat_emb_dim,params_gamma,params_lr,params_mask_type,params_momentum,params_n_a,params_n_d,params_n_steps,params_virtual_batch_size,params_weight_decay,user_attrs_avg_mae,user_attrs_avg_r2,state
0,0.6644151210672605,4096,2,2.927992970835974,0.16883413866733024,entmax,0.9287170360865744,27,127,4,1024,3.161832449858689e-05,0.4764935076236725,0.9753486514091492,COMPLETE
1,0.5423667498209958,4096,4,2.3588861824491527,0.040089917381376385,sparsemax,0.9444431406661552,76,106,3,128,0.004974076270630681,0.39894307653109234,0.983890692392985,COMPLETE
2,2.969829579046531,4096,2,1.4388248013427125,0.0008935424501182111,entmax,0.6984796946852141,119,113,5,256,2.316565106052045e-05,2.2541062434514365,0.5310460925102234,COMPLETE
3,1.6768451391119676,4096,3,2.224832929466544,0.15306262427937675,sparsemax,0.05147766997882456,14,11,11,512,0.0016137747586118386,1.241973062356313,0.8042898575464884,COMPLETE
4,6.414453164374283,1024,3,1.9913593366663673,0.00012408270422070236,entmax,0.9624856757408051,56,72,10,256,0.00019763394588756642,4.877967516581218,-1.1826324462890625,COMPLETE
5,16.233474334559745,4096,5,1.1262305845981126,0.0001730911513328332,sparsemax,0.6188315937842871,63,54,10,1024,4.890071390488867e-06,14.790536562601725,-13.057950019836426,COMPLETE
6,1.6559930403849623,8192,4,1.9144611106464122,0.016967737171963915,entmax,0.9745765853193783,81,43,4,512,0.0010202440937840016,1.210000365972519,0.7978625098864237,COMPLETE
7,1.5440255478613982,4096,1,2.1654142884177077,0.08029098705338268,entmax,0.3265279935109057,52,81,12,128,0.000507396946339266,1.1801535884539287,0.8085570335388184,COMPLETE
8,7.862543845762329,8192,4,2.6365883374610517,0.0007420810199666138,sparsemax,0.049893502592544554,8,23,14,512,1.0444334524874044e-05,6.430056571960449,-2.3082188765207925,COMPLETE
9,2.755698977574785,8192,1,2.4040193111707584,0.2550721515100865,sparsemax,0.7715532849381741,64,30,5,256,1.590553900144469e-05,2.1020392576853433,0.5683135390281677,COMPLETE
10,1.1554107114050594,2048,5,1.6814058247912014,0.01499039487992279,sparsemax,0.39236331794860985,99,96,7,128,0.006549372205181098,0.8281566351652145,0.8970278104146322,COMPLETE
11,0.4184058256030337,4096,2,2.909960489308764,0.04791073466667719,entmax,0.86164770356793,39,127,3,1024,1.0826622734090717e-06,0.3092765261729558,0.9903035163879395,COMPLETE
12,0.3509690724011165,1024,2,2.9533327414937642,0.03769131116769307,sparsemax,0.8080924012252726,36,104,7,1024,1.0405430891186021e-06,0.23173552751541138,0.9926048517227173,COMPLETE
13,1.0471009062963808,1024,2,2.9749990805934363,0.0053080636780972155,entmax,0.7938583001393992,33,126,7,1024,1.4414549310318484e-06,0.7911433577537537,0.9168740510940552,COMPLETE
14,1.3200564727502704,1024,2,2.684471228663137,0.004125650837755272,entmax,0.5651314141639621,43,91,7,1024,1.0318828808721633e-06,0.9913158615430196,0.8749508062998453,COMPLETE
15,1.196915969580874,2048,1,2.7099050374959948,0.04116359340466327,sparsemax,0.814368329292498,31,111,7,1024,3.125637485049447e-06,0.7478594581286112,0.9227665066719055,COMPLETE
16,0.4599717048593958,1024,3,2.571985865137294,0.015207024146622485,entmax,0.4394322441822334,21,95,8,1024,8.877274225656891e-05,0.29605478048324585,0.9878161946932474,COMPLETE
17,0.5862729602833363,1024,2,2.963730286157007,0.05048825460687257,sparsemax,0.6748681549049443,46,128,3,1024,2.7555949695044236e-06,0.3514185647169749,0.981339156627655,COMPLETE
18,5.971725580426271,2048,3,2.7602727846004913,0.48305464493350236,entmax,0.22094248664202099,83,112,15,1024,6.585475468507916e-06,4.6798239549001055,-0.9404645760854086,COMPLETE
19,2.0684862700680915,1024,1,1.757358638699037,0.00275734240059715,sparsemax,0.85052844273105,42,62,5,1024,6.904899734889e-05,1.5141570369402568,0.7592455546061198,COMPLETE
20,3.4693469796385017,4096,2,2.4770602888649806,0.001613623547945629,sparsemax,0.5096115454906651,35,82,9,1024,1.7319171939420773e-06,2.665910085042318,0.36242566506067914,COMPLETE
21,0.8873794520975525,1024,3,2.8154764270636106,0.012288688456489436,entmax,0.41977023238750466,19,99,8,1024,9.266985075463937e-05,0.6721149136622747,0.9195089340209961,COMPLETE
22,0.40423376959231344,1024,3,2.5530262283052405,0.025556995894423434,entmax,0.23526996320637772,22,86,6,1024,0.00020879191750629292,0.23986883461475372,0.9905444383621216,COMPLETE
23,0.6847548144752929,1024,3,2.8239849614946304,0.0756079010433062,entmax,0.247030627181844,21,83,6,1024,0.0003082460667593732,0.4887878994146983,0.9745366970698038,COMPLETE
24,0.391511810712494,1024,2,2.524049414383261,0.022734175658604607,entmax,0.12978998040610967,9,119,6,1024,3.58946558299295e-05,0.27910395960013074,0.991481343905131,COMPLETE
25,0.9277285420465319,1024,4,2.1717379982089136,0.00883914555879742,entmax,0.19441047508839038,11,104,6,1024,4.549874565331424e-05,0.656382218003273,0.9249147772789001,COMPLETE
26,0.29771313955577844,1024,2,2.558765939375417,0.024450458797119174,entmax,0.14563075508142637,25,74,9,512,0.00020535812842468099,0.19474190970261893,0.9946330587069193,COMPLETE
27,0.8972156151720335,1024,1,2.341782680299869,0.09738871736475174,entmax,0.10567279084356751,8,67,9,512,0.0018918293792985355,0.6396505037943522,0.9571632345517477,COMPLETE
28,0.43316968148098806,1024,2,2.49313920011419,0.027493600602658375,sparsemax,0.137065516659376,28,118,12,512,0.0006128170929395002,0.30873314539591473,0.9896454016367594,COMPLETE
29,0.503125472658983,1024,2,2.289820823053789,0.16352746311530578,entmax,0.3237637582804687,27,47,8,512,2.5598977151795606e-05,0.3124970744053523,0.9863747358322144,COMPLETE
