number,value,params_batch_size,params_gamma,params_lr,params_n_d,params_n_steps,params_weight_decay,user_attrs_avg_mae,user_attrs_avg_r2
0,136.88218656107776,1024,1.3075803152913885,0.00019455856025270754,48,8,8.104389490679506e-06,116.05729166666667,-2.327694892883301
1,1033.1537748822022,1024,1.9214635054490903,0.009377032021936372,62,7,2.1899635874984305e-06,552.0102469126383,-432.56241498390835
2,23.246909320467392,256,2.31817314594076,0.005555066911244734,54,7,2.29343905652452e-05,17.155858675638836,0.9028677344322205
3,126.93185601483101,1024,1.5206404917453344,0.00014155305173781135,59,7,3.80251107229328e-05,102.9197006225586,-1.8471058209737141
4,115.19275570586451,256,1.3563035195659499,0.00019599988925218649,21,6,1.4856079807342558e-06,98.45513661702473,-1.454513152440389
5,447.55800154601303,512,2.1439622105515412,0.006778353402648644,34,9,3.422221357699772e-05,288.22423426310223,-110.16826671361923
6,143.73502906905694,256,1.8726813889606713,0.00013584553368916577,15,4,2.0374192540831547e-05,121.22829691569011,-2.6491225560506186
7,97.24334993429748,512,1.0102039299887569,0.0005255414587927919,21,5,0.001419795337914716,83.00240707397461,-1.1474531292915344
8,159.48310829377246,1024,2.477166027240525,0.007950205432068794,9,10,0.00011354137390656712,101.23111057281494,-5.05905036131541
9,56.598533109182874,256,1.5402548219789558,0.0012665079372633679,26,10,0.00017933999720862087,42.69962088267008,0.005314926306406657
